City,Venue,Host_Country,Date,Match Type,Team 1,Team 2,Team 1 Captain,Team 2 Captain,Team 1 Wicket Keeper,Team 2 Wicket Keeper,Toss Winner,Decision,Opening Team,Winner,By Runs,By Wickets,Run Won By,Wickets Won By,Player of the Match,Umpire 1,Umpire 2
Bangalore,M Chinnaswamy Stadium,India,18-04-2008,Group Stage,Royal Challengers Bangalore,Kolkata Knight Riders,Rahul Dravid,Sourav Ganguly,Mark Boucher,Wriddhiman Saha,Royal Challengers Bangalore,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,140,,BB McCullum,Asad Rauf,RE Koertzen
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,19-04-2008,Group Stage,Kings XI Punjab,Chennai Super Kings,Yuvraj Singh,MS Dhoni,Kumar Sangakkara,MS Dhoni,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,33,,MEK Hussey,MR Benson,SL Shastri
Delhi,Feroz Shah Kotla,India,19-04-2008,Group Stage,Delhi Daredevils,Rajasthan Royals,Virender Sehwag,Shane Warne,Dinesh Karthik,Mahesh Rawat,Rajasthan Royals,bat,Rajasthan Royals,Delhi Daredevils,0,1,,9,MF Maharoof,Aleem Dar,GA Pratapkumar
Mumbai,Wankhede Stadium,India,20-04-2008,Group Stage,Mumbai Indians,Royal Challengers Bangalore,Harbhajan Singh,Rahul Dravid,Luke Ronchi,Mark Boucher,Mumbai Indians,bat,Mumbai Indians,Royal Challengers Bangalore,0,1,,5,MV Boucher,SJ Davis,DJ Harper
Kolkata,Eden Gardens,India,20-04-2008,Group Stage,Kolkata Knight Riders,Deccan Chargers,Sourav Ganguly,VVS Laxman,Wriddhiman Saha,Adam Gilchrist,Deccan Chargers,bat,Deccan Chargers,Kolkata Knight Riders,0,1,,5,DJ Hussey,BF Bowden,K Hariharan
Jaipur,Sawai Mansingh Stadium,India,21-04-2008,Group Stage,Rajasthan Royals,Kings XI Punjab,Shane Warne,Yuvraj Singh,Kamran Akmal,Kumar Sangakkara,Kings XI Punjab,bat,Kings XI Punjab,Rajasthan Royals,0,1,,6,SR Watson,Aleem Dar,RB Tiffin
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,22-04-2008,Group Stage,Deccan Chargers,Delhi Daredevils,VVS Laxman,Virender Sehwag,Adam Gilchrist,Dinesh Karthik,Deccan Chargers,bat,Deccan Chargers,Delhi Daredevils,0,1,,9,V Sehwag,IL Howell,AM Saheba
Chennai,"MA Chidambaram Stadium, Chepauk",India,23-04-2008,Group Stage,Chennai Super Kings,Mumbai Indians,MS Dhoni,Harbhajan Singh,MS Dhoni,Luke Ronchi,Mumbai Indians,field,Chennai Super Kings,Chennai Super Kings,1,0,6,,ML Hayden,DJ Harper,GA Pratapkumar
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,24-04-2008,Group Stage,Deccan Chargers,Rajasthan Royals,VVS Laxman,Shane Warne,Adam Gilchrist,Kamran Akmal,Rajasthan Royals,field,Deccan Chargers,Rajasthan Royals,0,1,,3,YK Pathan,Asad Rauf,MR Benson
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,25-04-2008,Group Stage,Kings XI Punjab,Mumbai Indians,Yuvraj Singh,Harbhajan Singh,Kumar Sangakkara,Luke Ronchi,Mumbai Indians,field,Kings XI Punjab,Kings XI Punjab,1,0,66,,KC Sangakkara,Aleem Dar,AM Saheba
Bangalore,M Chinnaswamy Stadium,India,26-04-2008,Group Stage,Royal Challengers Bangalore,Rajasthan Royals,Rahul Dravid,Shane Warne,Mark Boucher,Mahesh Rawat,Rajasthan Royals,field,Royal Challengers Bangalore,Rajasthan Royals,0,1,,7,SR Watson,MR Benson,IL Howell
Chennai,"MA Chidambaram Stadium, Chepauk",India,26-04-2008,Group Stage,Chennai Super Kings,Kolkata Knight Riders,MS Dhoni,Sourav Ganguly,MS Dhoni,Brendon McCullum,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,0,1,,9,JDP Oram,BF Bowden,AV Jayaprakash
Mumbai,Dr DY Patil Sports Academy,India,27-04-2008,Group Stage,Mumbai Indians,Deccan Chargers,Shaun Pollock,VVS Laxman,Luke Ronchi,Adam Gilchrist,Deccan Chargers,field,Mumbai Indians,Deccan Chargers,0,1,,10,AC Gilchrist,Asad Rauf,SL Shastri
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,27-04-2008,Group Stage,Kings XI Punjab,Delhi Daredevils,Yuvraj Singh,Virender Sehwag,Kumar Sangakkara,Dinesh Karthik,Delhi Daredevils,bat,Delhi Daredevils,Kings XI Punjab,0,1,,4,SM Katich,RE Koertzen,I Shivram
Bangalore,M Chinnaswamy Stadium,India,28-04-2008,Group Stage,Royal Challengers Bangalore,Chennai Super Kings,Rahul Dravid,MS Dhoni,Mark Boucher,MS Dhoni,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,13,,MS Dhoni,BR Doctrove,RB Tiffin
Kolkata,Eden Gardens,India,29-04-2008,Group Stage,Kolkata Knight Riders,Mumbai Indians,Sourav Ganguly,Shaun Pollock,Brendon McCullum,Pinal Shah,Kolkata Knight Riders,bat,Kolkata Knight Riders,Mumbai Indians,0,1,,7,ST Jayasuriya,BF Bowden,AV Jayaprakash
Delhi,Feroz Shah Kotla,India,30-04-2008,Group Stage,Delhi Daredevils,Royal Challengers Bangalore,Virender Sehwag,Rahul Dravid,Dinesh Karthik,Mark Boucher,Royal Challengers Bangalore,field,Delhi Daredevils,Delhi Daredevils,1,0,10,,GD McGrath,Aleem Dar,I Shivram
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,01-05-2008,Group Stage,Deccan Chargers,Kings XI Punjab,VVS Laxman,Yuvraj Singh,Adam Gilchrist,Kumar Sangakkara,Kings XI Punjab,field,Deccan Chargers,Kings XI Punjab,0,1,,7,SE Marsh,BR Doctrove,RB Tiffin
Jaipur,Sawai Mansingh Stadium,India,01-05-2008,Group Stage,Rajasthan Royals,Kolkata Knight Riders,Shane Warne,Sourav Ganguly,Mahesh Rawat,Wriddhiman Saha,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,1,0,45,,SA Asnodkar,RE Koertzen,GA Pratapkumar
Chennai,"MA Chidambaram Stadium, Chepauk",India,02-05-2008,Group Stage,Chennai Super Kings,Delhi Daredevils,MS Dhoni,Virender Sehwag,MS Dhoni,Dinesh Karthik,Chennai Super Kings,bat,Chennai Super Kings,Delhi Daredevils,0,1,,8,V Sehwag,BF Bowden,K Hariharan
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,03-05-2008,Group Stage,Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,Sourav Ganguly,Kumar Sangakkara,Wriddhiman Saha,Kings XI Punjab,bat,Kings XI Punjab,Kings XI Punjab,1,0,9,,IK Pathan,DJ Harper,I Shivram
Bangalore,M Chinnaswamy Stadium,India,03-05-2008,Group Stage,Royal Challengers Bangalore,Deccan Chargers,Rahul Dravid,VVS Laxman,Mark Boucher,Adam Gilchrist,Deccan Chargers,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,3,,P Kumar,BR Doctrove,SL Shastri
Mumbai,Dr DY Patil Sports Academy,India,04-05-2008,Group Stage,Mumbai Indians,Delhi Daredevils,Shaun Pollock,Virender Sehwag,Yogesh Takawale,Dinesh Karthik,Delhi Daredevils,field,Mumbai Indians,Mumbai Indians,1,0,29,,SM Pollock,IL Howell,RE Koertzen
Jaipur,Sawai Mansingh Stadium,India,04-05-2008,Group Stage,Rajasthan Royals,Chennai Super Kings,Shane Warne,MS Dhoni,Mahesh Rawat,MS Dhoni,Chennai Super Kings,bat,Chennai Super Kings,Rajasthan Royals,0,1,,8,Sohail Tanvir,Asad Rauf,AV Jayaprakash
Bangalore,M Chinnaswamy Stadium,India,05-05-2008,Group Stage,Royal Challengers Bangalore,Kings XI Punjab,Rahul Dravid,Yuvraj Singh,Devraj Patil,Uday Kaul,Kings XI Punjab,field,Royal Challengers Bangalore,Kings XI Punjab,0,1,,6,S Sreesanth,SJ Davis,BR Doctrove
Chennai,"MA Chidambaram Stadium, Chepauk",India,06-05-2008,Group Stage,Chennai Super Kings,Deccan Chargers,MS Dhoni,Adam Gilchrist,MS Dhoni,Adam Gilchrist,Deccan Chargers,field,Chennai Super Kings,Deccan Chargers,0,1,,7,AC Gilchrist,MR Benson,RB Tiffin
Mumbai,Dr DY Patil Sports Academy,India,07-05-2008,Group Stage,Mumbai Indians,Rajasthan Royals,Shaun Pollock,Shane Warne,Yogesh Takawale,Mahesh Rawat,Mumbai Indians,field,Rajasthan Royals,Mumbai Indians,0,1,,7,A Nehra,DJ Harper,RE Koertzen
Delhi,Feroz Shah Kotla,India,08-05-2008,Group Stage,Delhi Daredevils,Chennai Super Kings,Virender Sehwag,MS Dhoni,Dinesh Karthik,MS Dhoni,Chennai Super Kings,field,Delhi Daredevils,Chennai Super Kings,0,1,,4,MS Dhoni,Aleem Dar,RB Tiffin
Kolkata,Eden Gardens,India,08-05-2008,Group Stage,Kolkata Knight Riders,Royal Challengers Bangalore,Sourav Ganguly,Rahul Dravid,Wriddhiman Saha,Mark Boucher,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,1,0,5,,SC Ganguly,Asad Rauf,IL Howell
Jaipur,Sawai Mansingh Stadium,India,09-05-2008,Group Stage,Rajasthan Royals,Deccan Chargers,Shane Warne,Adam Gilchrist,Mahesh Rawat,Adam Gilchrist,Rajasthan Royals,field,Deccan Chargers,Rajasthan Royals,0,1,,8,YK Pathan,MR Benson,AM Saheba
Chennai,"MA Chidambaram Stadium, Chepauk",India,10-05-2008,Group Stage,Chennai Super Kings,Kings XI Punjab,MS Dhoni,Yuvraj Singh,MS Dhoni,Uday Kaul,Kings XI Punjab,field,Chennai Super Kings,Chennai Super Kings,1,0,18,,L Balaji,AV Jayaprakash,BG Jerling
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,11-05-2008,Group Stage,Deccan Chargers,Kolkata Knight Riders,Adam Gilchrist,Sourav Ganguly,Adam Gilchrist,Wriddhiman Saha,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,1,0,23,,SC Ganguly,IL Howell,AM Saheba
Jaipur,Sawai Mansingh Stadium,India,11-05-2008,Group Stage,Rajasthan Royals,Delhi Daredevils,Shane Warne,Virender Sehwag,Mahesh Rawat,Dinesh Karthik,Rajasthan Royals,field,Delhi Daredevils,Rajasthan Royals,0,1,,3,SR Watson,SJ Davis,RE Koertzen
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,12-05-2008,Group Stage,Kings XI Punjab,Royal Challengers Bangalore,Yuvraj Singh,Rahul Dravid,Uday Kaul,Mark Boucher,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Kings XI Punjab,0,1,,9,SE Marsh,BR Doctrove,I Shivram
Kolkata,Eden Gardens,India,13-05-2008,Group Stage,Kolkata Knight Riders,Delhi Daredevils,Sourav Ganguly,Virender Sehwag,Wriddhiman Saha,AB de Villiers,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,1,0,23,,Shoaib Akhtar,Asad Rauf,IL Howell
Mumbai,Wankhede Stadium,India,14-05-2008,Group Stage,Mumbai Indians,Chennai Super Kings,Sachin Tendulkar,MS Dhoni,Yogesh Takawale,MS Dhoni,Mumbai Indians,field,Chennai Super Kings,Mumbai Indians,0,1,,9,ST Jayasuriya,BR Doctrove,AM Saheba
Delhi,Feroz Shah Kotla,India,15-05-2008,Group Stage,Delhi Daredevils,Deccan Chargers,Virender Sehwag,Adam Gilchrist,Dinesh Karthik,Adam Gilchrist,Deccan Chargers,field,Delhi Daredevils,Delhi Daredevils,1,0,12,,A Mishra,BG Jerling,GA Pratapkumar
Mumbai,Wankhede Stadium,India,16-05-2008,Group Stage,Mumbai Indians,Kolkata Knight Riders,Sachin Tendulkar,Sourav Ganguly,Yogesh Takawale,Wriddhiman Saha,Mumbai Indians,field,Kolkata Knight Riders,Mumbai Indians,0,1,,8,SM Pollock,BR Doctrove,DJ Harper
Delhi,Feroz Shah Kotla,India,17-05-2008,Group Stage,Delhi Daredevils,Kings XI Punjab,Virender Sehwag,Yuvraj Singh,Dinesh Karthik,Uday Kaul,Delhi Daredevils,bat,Delhi Daredevils,Kings XI Punjab,1,0,6,,DPMD Jayawardene,AV Jayaprakash,RE Koertzen
Jaipur,Sawai Mansingh Stadium,India,17-05-2008,Group Stage,Rajasthan Royals,Royal Challengers Bangalore,Shane Warne,Rahul Dravid,Mahesh Rawat,Devraj Patil,Royal Challengers Bangalore,field,Rajasthan Royals,Rajasthan Royals,1,0,65,,GC Smith,BF Bowden,SL Shastri
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,18-05-2008,Group Stage,Deccan Chargers,Mumbai Indians,Adam Gilchrist,Sachin Tendulkar,Adam Gilchrist,Yogesh Takawale,Deccan Chargers,field,Mumbai Indians,Mumbai Indians,1,0,25,,DJ Bravo,BR Doctrove,DJ Harper
Kolkata,Eden Gardens,India,18-05-2008,Group Stage,Kolkata Knight Riders,Chennai Super Kings,Sourav Ganguly,MS Dhoni,Wriddhiman Saha,MS Dhoni,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,1,0,3,,M Ntini,Asad Rauf,K Hariharan
Bangalore,M Chinnaswamy Stadium,India,19-05-2008,Group Stage,Royal Challengers Bangalore,Delhi Daredevils,Rahul Dravid,Virender Sehwag,Shreevats Goswami,Dinesh Karthik,Delhi Daredevils,field,Royal Challengers Bangalore,Delhi Daredevils,0,1,,5,SP Goswami,SJ Davis,GA Pratapkumar
Kolkata,Eden Gardens,India,20-05-2008,Group Stage,Kolkata Knight Riders,Rajasthan Royals,Sourav Ganguly,Shane Warne,Wriddhiman Saha,Mahesh Rawat,Rajasthan Royals,field,Kolkata Knight Riders,Rajasthan Royals,0,1,,6,YK Pathan,BG Jerling,RE Koertzen
Mumbai,Wankhede Stadium,India,21-05-2008,Group Stage,Mumbai Indians,Kings XI Punjab,Sachin Tendulkar,Yuvraj Singh,Pinal Shah,Uday Kaul,Mumbai Indians,field,Kings XI Punjab,Kings XI Punjab,1,0,1,,SE Marsh,BF Bowden,GA Pratapkumar
Chennai,"MA Chidambaram Stadium, Chepauk",India,21-05-2008,Group Stage,Chennai Super Kings,Royal Challengers Bangalore,MS Dhoni,Rahul Dravid,Parthiv Patel,Mark Boucher,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,14,,A Kumble,DJ Harper,I Shivram
Delhi,Arun Jaitley Stadium,India,22-05-2008,Group Stage,Kolkata Knight Riders,Delhi Daredevils,Sourav Ganguly,Virender Sehwag,Wriddhiman Saha,Dinesh Karthik,,,,,,,,,,AV Jayaprakash,BG Jerling
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,23-05-2008,Group Stage,Kings XI Punjab,Deccan Chargers,Yuvraj Singh,Adam Gilchrist,Kumar Sangakkara,Adam Gilchrist,Kings XI Punjab,field,Deccan Chargers,Kings XI Punjab,0,1,,6,SE Marsh,Asad Rauf,SJ Davis
Delhi,Feroz Shah Kotla,India,24-05-2008,Group Stage,Delhi Daredevils,Mumbai Indians,Virender Sehwag,Sachin Tendulkar,Dinesh Karthik,Pinal Shah,Delhi Daredevils,field,Mumbai Indians,Delhi Daredevils,0,1,,5,KD Karthik,BF Bowden,K Hariharan
Chennai,"MA Chidambaram Stadium, Chepauk",India,24-05-2008,Group Stage,Chennai Super Kings,Rajasthan Royals,MS Dhoni,Shane Warne,Parthiv Patel,Kamran Akmal,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,1,0,10,,JA Morkel,DJ Harper,SL Shastri
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,25-05-2008,Group Stage,Deccan Chargers,Royal Challengers Bangalore,Adam Gilchrist,Rahul Dravid,Adam Gilchrist,Shreevats Goswami,Deccan Chargers,bat,Deccan Chargers,Royal Challengers Bangalore,0,1,,5,R Vinay Kumar,Asad Rauf,RE Koertzen
Kolkata,Eden Gardens,India,25-05-2008,Group Stage,Kolkata Knight Riders,Kings XI Punjab,Sourav Ganguly,Yuvraj Singh,Wriddhiman Saha,Kumar Sangakkara,Kings XI Punjab,bat,Kings XI Punjab,Kolkata Knight Riders,0,1,,3,Umar Gul,SJ Davis,I Shivram
Jaipur,Sawai Mansingh Stadium,India,26-05-2008,Group Stage,Rajasthan Royals,Mumbai Indians,Shane Warne,Sachin Tendulkar,Kamran Akmal,Yogesh Takawale,Rajasthan Royals,field,Mumbai Indians,Rajasthan Royals,0,1,,5,Sohail Tanvir,BF Bowden,K Hariharan
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,27-05-2008,Group Stage,Deccan Chargers,Chennai Super Kings,Adam Gilchrist,MS Dhoni,Adam Gilchrist,Parthiv Patel,Deccan Chargers,bat,Deccan Chargers,Chennai Super Kings,0,1,,7,SK Raina,BG Jerling,AM Saheba
Bangalore,M Chinnaswamy Stadium,India,28-05-2008,Group Stage,Royal Challengers Bangalore,Mumbai Indians,Rahul Dravid,Sachin Tendulkar,Shreevats Goswami,Yogesh Takawale,Mumbai Indians,field,Royal Challengers Bangalore,Mumbai Indians,0,1,,9,CRD Fernando,BF Bowden,AV Jayaprakash
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,28-05-2008,Group Stage,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,Shane Watson,Kumar Sangakkara,Kamran Akmal,Rajasthan Royals,field,Kings XI Punjab,Kings XI Punjab,1,0,41,,SE Marsh,SJ Davis,K Hariharan
Mumbai,Wankhede Stadium,India,30-05-2008,1st Semi Final,Delhi Daredevils,Rajasthan Royals,Virender Sehwag,Shane Warne,Dinesh Karthik,Mahesh Rawat,Delhi Daredevils,field,Rajasthan Royals,Rajasthan Royals,1,0,105,,SR Watson,BF Bowden,RE Koertzen
Mumbai,Wankhede Stadium,India,31-05-2008,2nd Semi Final,Chennai Super Kings,Kings XI Punjab,MS Dhoni,Yuvraj Singh,Parthiv Patel,Kumar Sangakkara,Kings XI Punjab,bat,Kings XI Punjab,Chennai Super Kings,0,1,,9,M Ntini,Asad Rauf,DJ Harper
Mumbai,Dr DY Patil Sports Academy,India,01-06-2008,Final,Chennai Super Kings,Rajasthan Royals,MS Dhoni,Shane Warne,Parthiv Patel,Kamran Akmal,Rajasthan Royals,field,Chennai Super Kings,Rajasthan Royals,0,1,,3,YK Pathan,BF Bowden,RE Koertzen
Cape Town,Newlands,South Africa,18-04-2009,Group Stage,Chennai Super Kings,Mumbai Indians,MS Dhoni,Sachin Tendulkar,Parthiv Patel,Pinal Shah,Chennai Super Kings,field,Mumbai Indians,Mumbai Indians,1,0,19,,SR Tendulkar,BR Doctrove,K Hariharan
Cape Town,Newlands,South Africa,18-04-2009,Group Stage,Royal Challengers Bangalore,Rajasthan Royals,Kevin Pietersen,Shane Warne,Robin Uthappa,Mahesh Rawat,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,75,,R Dravid,BR Doctrove,RB Tiffin
Cape Town,Newlands,South Africa,19-04-2009,Group Stage,Delhi Daredevils,Kings XI Punjab,Virender Sehwag,Yuvraj Singh,Dinesh Karthik,Kumar Sangakkara,Delhi Daredevils,field,Kings XI Punjab,Delhi Daredevils,0,1,,10,DL Vettori,MR Benson,SD Ranade
Cape Town,Newlands,South Africa,19-04-2009,Group Stage,Deccan Chargers,Kolkata Knight Riders,Adam Gilchrist,Brendon McCullum,Adam Gilchrist,Brendon McCullum,Kolkata Knight Riders,bat,Kolkata Knight Riders,Deccan Chargers,0,1,,8,RP Singh,MR Benson,BR Doctrove
Port Elizabeth,St George's Park,South Africa,20-04-2009,Group Stage,Royal Challengers Bangalore,Chennai Super Kings,Kevin Pietersen,MS Dhoni,Robin Uthappa,MS Dhoni,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,92,,M Muralitharan,BG Jerling,SJA Taufel
Durban,Kingsmead,South Africa,21-04-2009,Group Stage,Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,Brendon McCullum,Kumar Sangakkara,Brendon McCullum,Kolkata Knight Riders,field,Kings XI Punjab,Kolkata Knight Riders,1,0,11,,CH Gayle,DJ Harper,SD Ranade
Cape Town,Newlands,South Africa,22-04-2009,Group Stage,Royal Challengers Bangalore,Deccan Chargers,Kevin Pietersen,Adam Gilchrist,Robin Uthappa,Adam Gilchrist,Deccan Chargers,bat,Deccan Chargers,Deccan Chargers,1,0,24,,AC Gilchrist,M Erasmus,AM Saheba
Durban,Kingsmead,South Africa,23-04-2009,Group Stage,Chennai Super Kings,Delhi Daredevils,MS Dhoni,Virender Sehwag,MS Dhoni,Dinesh Karthik,Delhi Daredevils,bat,Delhi Daredevils,Delhi Daredevils,1,0,9,,AB de Villiers,BR Doctrove,SJA Taufel
Cape Town,Newlands,South Africa,23-04-2009,Group Stage,Kolkata Knight Riders,Rajasthan Royals,Brendon McCullum,Shane Warne,Brendon McCullum,Mahesh Rawat,Kolkata Knight Riders,field,Rajasthan Royals,Tied,,,,,YK Pathan,MR Benson,M Erasmus
Durban,Kingsmead,South Africa,24-04-2009,Group Stage,Royal Challengers Bangalore,Kings XI Punjab,Kevin Pietersen,Yuvraj Singh,Robin Uthappa,Kumar Sangakkara,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Kings XI Punjab,0,1,,7,RS Bopara,BR Doctrove,TH Wijewardene
Durban,Kingsmead,South Africa,25-04-2009,Group Stage,Deccan Chargers,Mumbai Indians,Adam Gilchrist,Sachin Tendulkar,Adam Gilchrist,Pinal Shah,Deccan Chargers,bat,Deccan Chargers,Deccan Chargers,1,0,12,,PP Ojha,HDPK Dharmasena,SJA Taufel
Port Elizabeth,St George's Park,South Africa,26-04-2009,Group Stage,Royal Challengers Bangalore,Delhi Daredevils,Kevin Pietersen,Virender Sehwag,Mark Boucher,Dinesh Karthik,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Delhi Daredevils,0,1,,6,TM Dilshan,S Asnani,BG Jerling
Cape Town,Newlands,South Africa,26-04-2009,Group Stage,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,Shane Warne,Kumar Sangakkara,Mahesh Rawat,Kings XI Punjab,bat,Kings XI Punjab,Kings XI Punjab,1,0,27,,KC Sangakkara,M Erasmus,K Hariharan
Durban,Kingsmead,South Africa,27-04-2009,Group Stage,Chennai Super Kings,Deccan Chargers,MS Dhoni,Adam Gilchrist,MS Dhoni,Adam Gilchrist,Deccan Chargers,field,Chennai Super Kings,Deccan Chargers,0,1,,6,HH Gibbs,IL Howell,TH Wijewardene
Port Elizabeth,St George's Park,South Africa,27-04-2009,Group Stage,Kolkata Knight Riders,Mumbai Indians,Brendon McCullum,Sachin Tendulkar,Brendon McCullum,Pinal Shah,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,92,,SR Tendulkar,BG Jerling,RB Tiffin
Centurion,SuperSport Park,South Africa,28-04-2009,Group Stage,Delhi Daredevils,Rajasthan Royals,Virender Sehwag,Shane Warne,Dinesh Karthik,Mahesh Rawat,Delhi Daredevils,bat,Delhi Daredevils,Rajasthan Royals,0,1,,5,YK Pathan,GAV Baxter,RE Koertzen
Durban,Kingsmead,South Africa,29-04-2009,Group Stage,Royal Challengers Bangalore,Kolkata Knight Riders,Kevin Pietersen,Brendon McCullum,Mark Boucher,Morne van Wyk,Kolkata Knight Riders,bat,Kolkata Knight Riders,Royal Challengers Bangalore,0,1,,5,MV Boucher,MR Benson,TH Wijewardene
Durban,Kingsmead,South Africa,29-04-2009,Group Stage,Kings XI Punjab,Mumbai Indians,Yuvraj Singh,Sachin Tendulkar,Kumar Sangakkara,Pinal Shah,Kings XI Punjab,bat,Kings XI Punjab,Kings XI Punjab,1,0,3,,KC Sangakkara,MR Benson,SL Shastri
Centurion,SuperSport Park,South Africa,30-04-2009,Group Stage,Deccan Chargers,Delhi Daredevils,Adam Gilchrist,Virender Sehwag,Adam Gilchrist,Dinesh Karthik,Delhi Daredevils,field,Deccan Chargers,Delhi Daredevils,0,1,,6,DP Nannes,GAV Baxter,AM Saheba
Centurion,SuperSport Park,South Africa,30-04-2009,Group Stage,Chennai Super Kings,Rajasthan Royals,MS Dhoni,Shane Warne,MS Dhoni,Mahesh Rawat,Rajasthan Royals,field,Chennai Super Kings,Chennai Super Kings,1,0,38,,SK Raina,GAV Baxter,RE Koertzen
East London,Buffalo Park,South Africa,01-05-2009,Group Stage,Kolkata Knight Riders,Mumbai Indians,Brendon McCullum,Sachin Tendulkar,Morne van Wyk,Pinal Shah,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,9,,JP Duminy,M Erasmus,SK Tarapore
Durban,Kingsmead,South Africa,01-05-2009,Group Stage,Royal Challengers Bangalore,Kings XI Punjab,Anil Kumble,Yuvraj Singh,Mark Boucher,Kumar Sangakkara,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,8,,Yuvraj Singh,HDPK Dharmasena,S Ravi
Port Elizabeth,St George's Park,South Africa,02-05-2009,Group Stage,Deccan Chargers,Rajasthan Royals,Adam Gilchrist,Shane Warne,Adam Gilchrist,Naman Ojha,Deccan Chargers,bat,Deccan Chargers,Rajasthan Royals,0,1,,3,YK Pathan,S Asnani,BG Jerling
Johannesburg,New Wanderers Stadium,South Africa,02-05-2009,Group Stage,Chennai Super Kings,Delhi Daredevils,MS Dhoni,Gautam Gambhir,MS Dhoni,Dinesh Karthik,Delhi Daredevils,field,Chennai Super Kings,Chennai Super Kings,1,0,18,,SB Jakati,DJ Harper,RE Koertzen
Port Elizabeth,St George's Park,South Africa,03-05-2009,Group Stage,Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,Brendon McCullum,Kumar Sangakkara,Morne van Wyk,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kings XI Punjab,0,1,,6,DPMD Jayawardene,S Asnani,MR Benson
Johannesburg,New Wanderers Stadium,South Africa,03-05-2009,Group Stage,Royal Challengers Bangalore,Mumbai Indians,Anil Kumble,Sachin Tendulkar,Mark Boucher,Pinal Shah,Mumbai Indians,bat,Mumbai Indians,Royal Challengers Bangalore,0,1,,9,JH Kallis,RE Koertzen,TH Wijewardene
East London,Buffalo Park,South Africa,04-05-2009,Group Stage,Chennai Super Kings,Deccan Chargers,MS Dhoni,Adam Gilchrist,MS Dhoni,Adam Gilchrist,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,78,,MS Dhoni,BR Doctrove,M Erasmus
Durban,Kingsmead,South Africa,05-05-2009,Group Stage,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,Shane Warne,Kumar Sangakkara,Naman Ojha,Kings XI Punjab,field,Rajasthan Royals,Rajasthan Royals,1,0,78,,GC Smith,SS Hazare,IL Howell
Durban,Kingsmead,South Africa,05-05-2009,Group Stage,Delhi Daredevils,Kolkata Knight Riders,Gautam Gambhir,Brendon McCullum,Dinesh Karthik,Morne van Wyk,Kolkata Knight Riders,bat,Kolkata Knight Riders,Delhi Daredevils,0,1,,9,G Gambhir,GAV Baxter,IL Howell
Centurion,SuperSport Park,South Africa,06-05-2009,Group Stage,Deccan Chargers,Mumbai Indians,Adam Gilchrist,Sachin Tendulkar,Adam Gilchrist,Pinal Shah,Deccan Chargers,bat,Deccan Chargers,Deccan Chargers,1,0,19,,RG Sharma,MR Benson,HDPK Dharmasena
