City,Venue,Host_Country,Date,Match Type,Team 1,Team 2,Team 1 Captain,Team 2 Captain,Team 1 Wicket Keeper,Team 2 Wicket Keeper,Toss Winner,Decision,Opening Team,Winner,By Runs,By Wickets,Run Won By,Wickets Won By,Player of the Match,Umpire 1,Umpire 2
Chennai,"MA Chidambaram Stadium, Chepauk",India,04-05-2012,Group Stage,Chennai Super Kings,Deccan Chargers,,,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,10,,SK Raina,HDPK Dharmasena,BNJ Oxenford
Kolkata,Eden Gardens,India,05-05-2012,Group Stage,Kolkata Knight Riders,Pune Warriors,,,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,1,0,7,,SP Narine,BF Bowden,SK Tarapore
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,05-05-2012,Group Stage,Kings XI Punjab,Rajasthan Royals,,,,,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,1,0,43,,SR Watson,JD Cloete,SJA Taufel
Mumbai,Wankhede Stadium,India,06-05-2012,Group Stage,Mumbai Indians,Chennai Super Kings,,,,,Mumbai Indians,field,Chennai Super Kings,Mumbai Indians,0,1,,2,DR Smith,Asad Rauf,S Asnani
Bangalore,M Chinnaswamy Stadium,India,06-05-2012,Group Stage,Royal Challengers Bangalore,Deccan Chargers,,,,,Royal Challengers Bangalore,field,Deccan Chargers,Royal Challengers Bangalore,0,1,,5,AB de Villiers,HDPK Dharmasena,BNJ Oxenford
Delhi,Feroz Shah Kotla,India,07-05-2012,Group Stage,Delhi Daredevils,Kolkata Knight Riders,,,,,Delhi Daredevils,bat,Delhi Daredevils,Kolkata Knight Riders,0,1,,6,JH Kallis,JD Cloete,S Ravi
Pune,Subrata Roy Sahara Stadium,India,08-05-2012,Group Stage,Pune Warriors,Rajasthan Royals,,,,,Pune Warriors,bat,Pune Warriors,Rajasthan Royals,0,1,,7,SR Watson,Asad Rauf,BR Doctrove
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,08-05-2012,Group Stage,Deccan Chargers,Kings XI Punjab,,,,,Deccan Chargers,field,Kings XI Punjab,Kings XI Punjab,1,0,25,,Mandeep Singh,HDPK Dharmasena,BNJ Oxenford
Mumbai,Wankhede Stadium,India,09-05-2012,Group Stage,Mumbai Indians,Royal Challengers Bangalore,,,,,Royal Challengers Bangalore,field,Mumbai Indians,Royal Challengers Bangalore,0,1,,9,CH Gayle,BF Bowden,VA Kulkarni
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,10-05-2012,Group Stage,Deccan Chargers,Delhi Daredevils,,,,,Deccan Chargers,bat,Deccan Chargers,Delhi Daredevils,0,1,,9,DA Warner,JD Cloete,SJA Taufel
Jaipur,Sawai Mansingh Stadium,India,10-05-2012,Group Stage,Rajasthan Royals,Chennai Super Kings,,,,,Chennai Super Kings,field,Rajasthan Royals,Chennai Super Kings,0,1,,4,BW Hilfenhaus,BNJ Oxenford,C Shamshuddin
Pune,Subrata Roy Sahara Stadium,India,11-05-2012,Group Stage,Pune Warriors,Royal Challengers Bangalore,,,,,Pune Warriors,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,35,,CH Gayle,BF Bowden,SK Tarapore
Kolkata,Eden Gardens,India,12-05-2012,Group Stage,Kolkata Knight Riders,Mumbai Indians,,,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,27,,RG Sharma,S Ravi,SJA Taufel
