City,Venue,Date,Team 1,Team 2,Team 1 Captain,Team 2 Captain,Toss Winner,Decision,Opening Team,Winner,By Runs,By Wickets,Run Won By,Wickets Won By,Player of the Match,Umpire 1,Umpire 2
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2017-04-05,Sunrisers Hyderabad,Royal Challengers Bangalore,,,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,35,,Yuvraj Singh,AY Dandekar,NJ Llong
Pune,Maharashtra Cricket Association Stadium,2017-04-06,Rising Pune Supergiant,Mumbai Indians,,,Rising Pune Supergiant,field,Mumbai Indians,Rising Pune Supergiant,0,1,,7,SPD Smith,A Nand Kishore,S Ravi
Rajkot,Saurashtra Cricket Association Stadium,2017-04-07,Gujarat Lions,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Gujarat Lions,Kolkata Knight Riders,0,1,,10,CA Lynn,Nitin Menon,CK Nandan
Indore,Holkar Cricket Stadium,2017-04-08,Kings XI Punjab,Rising Pune Supergiant,,,Kings XI Punjab,field,Rising Pune Supergiant,Kings XI Punjab,0,1,,6,GJ Maxwell,AK Chaudhary,C Shamshuddin
Bengaluru,M.Chinnaswamy Stadium,2017-04-08,Royal Challengers Bangalore,Delhi Daredevils,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,15,,KM Jadhav,S Ravi,VK Sharma
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2017-04-09,Sunrisers Hyderabad,Gujarat Lions,,,Sunrisers Hyderabad,field,Gujarat Lions,Sunrisers Hyderabad,0,1,,9,Rashid Khan,A Deshmukh,NJ Llong
Mumbai,Wankhede Stadium,2017-04-09,Mumbai Indians,Kolkata Knight Riders,,,Mumbai Indians,field,Kolkata Knight Riders,Mumbai Indians,0,1,,4,N Rana,Nitin Menon,CK Nandan
Indore,Holkar Cricket Stadium,2017-04-10,Kings XI Punjab,Royal Challengers Bangalore,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Kings XI Punjab,0,1,,8,AR Patel,AK Chaudhary,C Shamshuddin
Pune,Maharashtra Cricket Association Stadium,2017-04-11,Rising Pune Supergiant,Delhi Daredevils,,,Rising Pune Supergiant,field,Delhi Daredevils,Delhi Daredevils,1,0,97,,SV Samson,AY Dandekar,S Ravi
Mumbai,Wankhede Stadium,2017-04-12,Mumbai Indians,Sunrisers Hyderabad,,,Mumbai Indians,field,Sunrisers Hyderabad,Mumbai Indians,0,1,,4,JJ Bumrah,Nitin Menon,CK Nandan
Kolkata,Eden Gardens,2017-04-13,Kolkata Knight Riders,Kings XI Punjab,,,Kolkata Knight Riders,field,Kings XI Punjab,Kolkata Knight Riders,0,1,,8,SP Narine,A Deshmukh,NJ Llong
Bangalore,M Chinnaswamy Stadium,2017-04-14,Royal Challengers Bangalore,Mumbai Indians,,,Mumbai Indians,field,Royal Challengers Bangalore,Mumbai Indians,0,1,,4,KA Pollard,KN Ananthapadmanabhan,AK Chaudhary
Rajkot,Saurashtra Cricket Association Stadium,2017-04-14,Gujarat Lions,Rising Pune Supergiant,,,Gujarat Lions,field,Rising Pune Supergiant,Gujarat Lions,0,1,,7,AJ Tye,A Nand Kishore,S Ravi
Kolkata,Eden Gardens,2017-04-15,Kolkata Knight Riders,Sunrisers Hyderabad,,,Sunrisers Hyderabad,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,17,,RV Uthappa,AY Dandekar,NJ Llong
Delhi,Feroz Shah Kotla,2017-04-15,Delhi Daredevils,Kings XI Punjab,,,Delhi Daredevils,bat,Delhi Daredevils,Delhi Daredevils,1,0,51,,CJ Anderson,YC Barde,Nitin Menon
Mumbai,Wankhede Stadium,2017-04-16,Mumbai Indians,Gujarat Lions,,,Mumbai Indians,field,Gujarat Lions,Mumbai Indians,0,1,,6,N Rana,A Nand Kishore,S Ravi
Bangalore,M Chinnaswamy Stadium,2017-04-16,Royal Challengers Bangalore,Rising Pune Supergiant,,,Royal Challengers Bangalore,field,Rising Pune Supergiant,Rising Pune Supergiant,1,0,27,,BA Stokes,KN Ananthapadmanabhan,C Shamshuddin
Delhi,Feroz Shah Kotla,2017-04-17,Delhi Daredevils,Kolkata Knight Riders,,,Delhi Daredevils,bat,Delhi Daredevils,Kolkata Knight Riders,0,1,,4,NM Coulter-Nile,Nitin Menon,CK Nandan
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2017-04-17,Sunrisers Hyderabad,Kings XI Punjab,,,Kings XI Punjab,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,5,,B Kumar,AY Dandekar,A Deshmukh
Rajkot,Saurashtra Cricket Association Stadium,2017-04-18,Gujarat Lions,Royal Challengers Bangalore,,,Gujarat Lions,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,21,,CH Gayle,S Ravi,VK Sharma
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2017-04-19,Sunrisers Hyderabad,Delhi Daredevils,,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,15,,KS Williamson,CB Gaffaney,NJ Llong
Indore,Holkar Cricket Stadium,2017-04-20,Kings XI Punjab,Mumbai Indians,,,Mumbai Indians,field,Kings XI Punjab,Mumbai Indians,0,1,,8,JC Buttler,M Erasmus,C Shamshuddin
Kolkata,Eden Gardens,2017-04-21,Kolkata Knight Riders,Gujarat Lions,,,Gujarat Lions,field,Kolkata Knight Riders,Gujarat Lions,0,1,,4,SK Raina,CB Gaffaney,Nitin Menon
Mumbai,Wankhede Stadium,2017-04-22,Mumbai Indians,Delhi Daredevils,,,Delhi Daredevils,field,Mumbai Indians,Mumbai Indians,1,0,14,,MJ McClenaghan,A Nand Kishore,S Ravi
Pune,Maharashtra Cricket Association Stadium,2017-04-22,Rising Pune Supergiant,Sunrisers Hyderabad,,,Rising Pune Supergiant,field,Sunrisers Hyderabad,Rising Pune Supergiant,0,1,,6,MS Dhoni,AY Dandekar,A Deshmukh
Rajkot,Saurashtra Cricket Association Stadium,2017-04-23,Gujarat Lions,Kings XI Punjab,,,Gujarat Lions,field,Kings XI Punjab,Kings XI Punjab,1,0,26,,HM Amla,AK Chaudhary,M Erasmus
Kolkata,Eden Gardens,2017-04-23,Kolkata Knight Riders,Royal Challengers Bangalore,,,Royal Challengers Bangalore,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,82,,NM Coulter-Nile,CB Gaffaney,CK Nandan
Mumbai,Wankhede Stadium,2017-04-24,Mumbai Indians,Rising Pune Supergiant,,,Mumbai Indians,field,Rising Pune Supergiant,Rising Pune Supergiant,1,0,3,,BA Stokes,A Nand Kishore,S Ravi
Pune,Maharashtra Cricket Association Stadium,2017-04-26,Rising Pune Supergiant,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Rising Pune Supergiant,Kolkata Knight Riders,0,1,,7,RV Uthappa,AY Dandekar,NJ Llong
Bangalore,M Chinnaswamy Stadium,2017-04-27,Royal Challengers Bangalore,Gujarat Lions,,,Gujarat Lions,field,Royal Challengers Bangalore,Gujarat Lions,0,1,,7,AJ Tye,AK Chaudhary,C Shamshuddin
Kolkata,Eden Gardens,2017-04-28,Kolkata Knight Riders,Delhi Daredevils,,,Kolkata Knight Riders,field,Delhi Daredevils,Kolkata Knight Riders,0,1,,7,G Gambhir,NJ Llong,S Ravi
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2017-04-28,Kings XI Punjab,Sunrisers Hyderabad,,,Kings XI Punjab,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,26,,Rashid Khan,Nitin Menon,CK Nandan
Pune,Maharashtra Cricket Association Stadium,2017-04-29,Rising Pune Supergiant,Royal Challengers Bangalore,,,Royal Challengers Bangalore,field,Rising Pune Supergiant,Rising Pune Supergiant,1,0,61,,LH Ferguson,KN Ananthapadmanabhan,M Erasmus
Rajkot,Saurashtra Cricket Association Stadium,2017-04-29,Gujarat Lions,Mumbai Indians,,,Gujarat Lions,bat,Gujarat Lions,Tied,,,,,KH Pandya,AK Chaudhary,CB Gaffaney
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2017-04-30,Kings XI Punjab,Delhi Daredevils,,,Kings XI Punjab,field,Delhi Daredevils,Kings XI Punjab,0,1,,10,Sandeep Sharma,YC Barde,CK Nandan
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2017-04-30,Sunrisers Hyderabad,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,48,,DA Warner,AY Dandekar,S Ravi
Mumbai,Wankhede Stadium,2017-05-01,Mumbai Indians,Royal Challengers Bangalore,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Mumbai Indians,0,1,,5,RG Sharma,AK Chaudhary,CB Gaffaney
Pune,Maharashtra Cricket Association Stadium,2017-05-01,Rising Pune Supergiant,Gujarat Lions,,,Rising Pune Supergiant,field,Gujarat Lions,Rising Pune Supergiant,0,1,,5,BA Stokes,M Erasmus,C Shamshuddin
Delhi,Feroz Shah Kotla,2017-05-02,Delhi Daredevils,Sunrisers Hyderabad,,,Delhi Daredevils,field,Sunrisers Hyderabad,Delhi Daredevils,0,1,,6,Mohammed Shami,YC Barde,Nitin Menon
Kolkata,Eden Gardens,2017-05-03,Kolkata Knight Riders,Rising Pune Supergiant,,,Rising Pune Supergiant,field,Kolkata Knight Riders,Rising Pune Supergiant,0,1,,4,RA Tripathi,KN Ananthapadmanabhan,A Nand Kishore
Delhi,Feroz Shah Kotla,2017-05-04,Delhi Daredevils,Gujarat Lions,,,Delhi Daredevils,field,Gujarat Lions,Delhi Daredevils,0,1,,7,RR Pant,M Erasmus,Nitin Menon
Bangalore,M Chinnaswamy Stadium,2017-05-05,Royal Challengers Bangalore,Kings XI Punjab,,,Royal Challengers Bangalore,field,Kings XI Punjab,Kings XI Punjab,1,0,19,,Sandeep Sharma,CB Gaffaney,C Shamshuddin
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2017-05-06,Sunrisers Hyderabad,Rising Pune Supergiant,,,Sunrisers Hyderabad,field,Rising Pune Supergiant,Rising Pune Supergiant,1,0,12,,JD Unadkat,KN Ananthapadmanabhan,AK Chaudhary
Delhi,Feroz Shah Kotla,2017-05-06,Delhi Daredevils,Mumbai Indians,,,Delhi Daredevils,field,Mumbai Indians,Mumbai Indians,1,0,146,,LMP Simmons,Nitin Menon,CK Nandan
Bangalore,M Chinnaswamy Stadium,2017-05-07,Royal Challengers Bangalore,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Royal Challengers Bangalore,Kolkata Knight Riders,0,1,,6,SP Narine,AY Dandekar,C Shamshuddin
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2017-05-07,Kings XI Punjab,Gujarat Lions,,,Gujarat Lions,field,Kings XI Punjab,Gujarat Lions,0,1,,6,DR Smith,A Nand Kishore,VK Sharma
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2017-05-08,Sunrisers Hyderabad,Mumbai Indians,,,Mumbai Indians,bat,Mumbai Indians,Sunrisers Hyderabad,0,1,,7,S Dhawan,KN Ananthapadmanabhan,M Erasmus
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2017-05-09,Kings XI Punjab,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Kings XI Punjab,Kings XI Punjab,1,0,14,,MM Sharma,A Nand Kishore,S Ravi
Kanpur,Green Park,2017-05-10,Gujarat Lions,Delhi Daredevils,,,Delhi Daredevils,field,Gujarat Lions,Delhi Daredevils,0,1,,2,SS Iyer,YC Barde,AK Chaudhary
Mumbai,Wankhede Stadium,2017-05-11,Mumbai Indians,Kings XI Punjab,,,Mumbai Indians,field,Kings XI Punjab,Kings XI Punjab,1,0,7,,WP Saha,A Deshmukh,A Nand Kishore
Delhi,Feroz Shah Kotla,2017-05-12,Delhi Daredevils,Rising Pune Supergiant,,,Delhi Daredevils,bat,Delhi Daredevils,Delhi Daredevils,1,0,7,,KK Nair,KN Ananthapadmanabhan,CK Nandan
Kanpur,Green Park,2017-05-13,Gujarat Lions,Sunrisers Hyderabad,,,Sunrisers Hyderabad,field,Gujarat Lions,Sunrisers Hyderabad,0,1,,8,Mohammed Siraj,AK Chaudhary,Nitin Menon
Kolkata,Eden Gardens,2017-05-13,Kolkata Knight Riders,Mumbai Indians,,,Kolkata Knight Riders,field,Mumbai Indians,Mumbai Indians,1,0,9,,AT Rayudu,A Nand Kishore,S Ravi
Pune,Maharashtra Cricket Association Stadium,2017-05-14,Rising Pune Supergiant,Kings XI Punjab,,,Rising Pune Supergiant,field,Kings XI Punjab,Rising Pune Supergiant,0,1,,9,JD Unadkat,AY Dandekar,A Deshmukh
Delhi,Feroz Shah Kotla,2017-05-14,Delhi Daredevils,Royal Challengers Bangalore,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,10,,HV Patel,CK Nandan,C Shamshuddin
Mumbai,Wankhede Stadium,2017-05-16,Mumbai Indians,Rising Pune Supergiant,,,Mumbai Indians,field,Rising Pune Supergiant,Rising Pune Supergiant,1,0,20,,Washington Sundar,S Ravi,C Shamshuddin
Bangalore,M Chinnaswamy Stadium,2017-05-17,Sunrisers Hyderabad,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Sunrisers Hyderabad,Kolkata Knight Riders,0,1,,7,NM Coulter-Nile,AK Chaudhary,Nitin Menon
Bangalore,M Chinnaswamy Stadium,2017-05-19,Mumbai Indians,Kolkata Knight Riders,,,Mumbai Indians,field,Kolkata Knight Riders,Mumbai Indians,0,1,,6,KV Sharma,NJ Llong,Nitin Menon
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2017-05-21,Mumbai Indians,Rising Pune Supergiant,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,1,,KH Pandya,NJ Llong,S Ravi
Mumbai,Wankhede Stadium,2018-04-07,Mumbai Indians,Chennai Super Kings,,,Chennai Super Kings,field,Mumbai Indians,Chennai Super Kings,0,1,,1,DJ Bravo,CB Gaffaney,A Nand Kishore
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2018-04-08,Kings XI Punjab,Delhi Daredevils,,,Kings XI Punjab,field,Delhi Daredevils,Kings XI Punjab,0,1,,6,KL Rahul,KN Ananthapadmanabhan,RJ Tucker
Kolkata,Eden Gardens,2018-04-08,Kolkata Knight Riders,Royal Challengers Bangalore,,,Kolkata Knight Riders,field,Royal Challengers Bangalore,Kolkata Knight Riders,0,1,,4,SP Narine,C Shamshuddin,A Deshmukh
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2018-04-09,Sunrisers Hyderabad,Rajasthan Royals,,,Sunrisers Hyderabad,field,Rajasthan Royals,Sunrisers Hyderabad,0,1,,9,S Dhawan,VA Kulkarni,NJ Llong
Chennai,"MA Chidambaram Stadium, Chepauk",2018-04-10,Chennai Super Kings,Kolkata Knight Riders,,,Chennai Super Kings,field,Kolkata Knight Riders,Chennai Super Kings,0,1,,5,SW Billings,CB Gaffaney,AK Chaudhary
Jaipur,Sawai Mansingh Stadium,2018-04-11,Rajasthan Royals,Delhi Daredevils,,,Delhi Daredevils,field,Rajasthan Royals,Rajasthan Royals,1,0,10,,SV Samson,KN Ananthapadmanabhan,Nitin Menon
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2018-04-12,Sunrisers Hyderabad,Mumbai Indians,,,Sunrisers Hyderabad,field,Mumbai Indians,Sunrisers Hyderabad,0,1,,1,Rashid Khan,NJ Llong,CK Nandan
Bengaluru,M.Chinnaswamy Stadium,2018-04-13,Royal Challengers Bangalore,Kings XI Punjab,,,Royal Challengers Bangalore,field,Kings XI Punjab,Royal Challengers Bangalore,0,1,,4,UT Yadav,A Deshmukh,S Ravi
Mumbai,Wankhede Stadium,2018-04-14,Mumbai Indians,Delhi Daredevils,,,Delhi Daredevils,field,Mumbai Indians,Delhi Daredevils,0,1,,7,JJ Roy,KN Ananthapadmanabhan,Nitin Menon
Kolkata,Eden Gardens,2018-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,,,Sunrisers Hyderabad,field,Kolkata Knight Riders,Sunrisers Hyderabad,0,1,,5,B Stanlake,AK Chaudhary,A Nand Kishore
Bengaluru,M.Chinnaswamy Stadium,2018-04-15,Royal Challengers Bangalore,Rajasthan Royals,,,Royal Challengers Bangalore,field,Rajasthan Royals,Rajasthan Royals,1,0,19,,SV Samson,C Shamshuddin,S Ravi
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2018-04-15,Kings XI Punjab,Chennai Super Kings,,,Chennai Super Kings,field,Kings XI Punjab,Kings XI Punjab,1,0,4,,CH Gayle,VA Kulkarni,CK Nandan
Kolkata,Eden Gardens,2018-04-16,Kolkata Knight Riders,Delhi Daredevils,,,Delhi Daredevils,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,71,,N Rana,AK Chaudhary,A Nand Kishore
Mumbai,Wankhede Stadium,2018-04-17,Mumbai Indians,Royal Challengers Bangalore,,,Royal Challengers Bangalore,field,Mumbai Indians,Mumbai Indians,1,0,46,,RG Sharma,RJ Tucker,Nitin Menon
Jaipur,Sawai Mansingh Stadium,2018-04-18,Rajasthan Royals,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Rajasthan Royals,Kolkata Knight Riders,0,1,,7,N Rana,A Deshmukh,S Ravi
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2018-04-19,Kings XI Punjab,Sunrisers Hyderabad,,,Kings XI Punjab,bat,Kings XI Punjab,Kings XI Punjab,1,0,15,,CH Gayle,NJ Llong,AK Chaudhary
Pune,Maharashtra Cricket Association Stadium,2018-04-20,Chennai Super Kings,Rajasthan Royals,,,Rajasthan Royals,field,Chennai Super Kings,Chennai Super Kings,1,0,64,,SR Watson,KN Ananthapadmanabhan,Nitin Menon
Kolkata,Eden Gardens,2018-04-21,Kolkata Knight Riders,Kings XI Punjab,,,Kings XI Punjab,field,Kolkata Knight Riders,Kings XI Punjab,0,1,,9,KL Rahul,C Shamshuddin,A Deshmukh
Bengaluru,M.Chinnaswamy Stadium,2018-04-21,Royal Challengers Bangalore,Delhi Daredevils,,,Royal Challengers Bangalore,field,Delhi Daredevils,Royal Challengers Bangalore,0,1,,6,AB de Villiers,CB Gaffaney,CK Nandan
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2018-04-22,Sunrisers Hyderabad,Chennai Super Kings,,,Sunrisers Hyderabad,field,Chennai Super Kings,Chennai Super Kings,1,0,4,,AT Rayudu,VA Kulkarni,AK Chaudhary
Jaipur,Sawai Mansingh Stadium,2018-04-22,Rajasthan Royals,Mumbai Indians,,,Mumbai Indians,bat,Mumbai Indians,Rajasthan Royals,0,1,,3,JC Archer,KN Ananthapadmanabhan,RJ Tucker
Delhi,Feroz Shah Kotla,2018-04-23,Delhi Daredevils,Kings XI Punjab,,,Delhi Daredevils,field,Kings XI Punjab,Kings XI Punjab,1,0,4,,AS Rajpoot,A Nand Kishore,CK Nandan
Mumbai,Wankhede Stadium,2018-04-24,Mumbai Indians,Sunrisers Hyderabad,,,Mumbai Indians,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,31,,Rashid Khan,C Shamshuddin,S Ravi
Bengaluru,M.Chinnaswamy Stadium,2018-04-25,Royal Challengers Bangalore,Chennai Super Kings,,,Chennai Super Kings,field,Royal Challengers Bangalore,Chennai Super Kings,0,1,,5,MS Dhoni,NJ Llong,VK Sharma
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2018-04-26,Sunrisers Hyderabad,Kings XI Punjab,,,Kings XI Punjab,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,13,,AS Rajpoot,YC Barde,CK Nandan
Delhi,Feroz Shah Kotla,2018-04-27,Delhi Daredevils,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Delhi Daredevils,Delhi Daredevils,1,0,55,,SS Iyer,C Shamshuddin,S Ravi
Pune,Maharashtra Cricket Association Stadium,2018-04-28,Chennai Super Kings,Mumbai Indians,,,Mumbai Indians,field,Chennai Super Kings,Mumbai Indians,0,1,,8,RG Sharma,CB Gaffaney,Nitin Menon
Jaipur,Sawai Mansingh Stadium,2018-04-29,Rajasthan Royals,Sunrisers Hyderabad,,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,11,,KS Williamson,BNJ Oxenford,A Nand Kishore
Bengaluru,M.Chinnaswamy Stadium,2018-04-29,Royal Challengers Bangalore,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Royal Challengers Bangalore,Kolkata Knight Riders,0,1,,6,CA Lynn,NJ Llong,AK Chaudhary
Pune,Maharashtra Cricket Association Stadium,2018-04-30,Chennai Super Kings,Delhi Daredevils,,,Delhi Daredevils,field,Chennai Super Kings,Chennai Super Kings,1,0,13,,SR Watson,AY Dandekar,C Shamshuddin
Bengaluru,M.Chinnaswamy Stadium,2018-05-01,Royal Challengers Bangalore,Mumbai Indians,,,Mumbai Indians,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,14,,TG Southee,M Erasmus,Nitin Menon
Delhi,Feroz Shah Kotla,2018-05-02,Delhi Daredevils,Rajasthan Royals,,,Rajasthan Royals,field,Delhi Daredevils,Delhi Daredevils,1,0,4,,RR Pant,VK Sharma,CK Nandan
Kolkata,Eden Gardens,2018-05-03,Kolkata Knight Riders,Chennai Super Kings,,,Kolkata Knight Riders,field,Chennai Super Kings,Kolkata Knight Riders,0,1,,6,SP Narine,HDPK Dharmasena,A Deshmukh
Indore,Holkar Cricket Stadium,2018-05-04,Kings XI Punjab,Mumbai Indians,,,Mumbai Indians,field,Kings XI Punjab,Mumbai Indians,0,1,,6,SA Yadav,AY Dandekar,S Ravi
Pune,Maharashtra Cricket Association Stadium,2018-05-05,Chennai Super Kings,Royal Challengers Bangalore,,,Chennai Super Kings,field,Royal Challengers Bangalore,Chennai Super Kings,0,1,,6,RA Jadeja,Nitin Menon,YC Barde
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2018-05-05,Sunrisers Hyderabad,Delhi Daredevils,,,Delhi Daredevils,bat,Delhi Daredevils,Sunrisers Hyderabad,0,1,,7,Rashid Khan,BNJ Oxenford,CK Nandan
Mumbai,Wankhede Stadium,2018-05-06,Mumbai Indians,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Mumbai Indians,Mumbai Indians,1,0,13,,HH Pandya,HDPK Dharmasena,A Deshmukh
Indore,Holkar Cricket Stadium,2018-05-06,Kings XI Punjab,Rajasthan Royals,,,Kings XI Punjab,field,Rajasthan Royals,Kings XI Punjab,0,1,,6,Mujeeb Ur Rahman,C Shamshuddin,S Ravi
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2018-05-07,Sunrisers Hyderabad,Royal Challengers Bangalore,,,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,5,,KS Williamson,BNJ Oxenford,VK Sharma
Jaipur,Sawai Mansingh Stadium,2018-05-08,Rajasthan Royals,Kings XI Punjab,,,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,1,0,15,,JC Buttler,M Erasmus,Nitin Menon
Kolkata,Eden Gardens,2018-05-09,Kolkata Knight Riders,Mumbai Indians,,,Kolkata Knight Riders,field,Mumbai Indians,Mumbai Indians,1,0,102,,Ishan Kishan,KN Ananthapadmanabhan,AK Chaudhary
Delhi,Feroz Shah Kotla,2018-05-10,Delhi Daredevils,Sunrisers Hyderabad,,,Delhi Daredevils,bat,Delhi Daredevils,Sunrisers Hyderabad,0,1,,9,S Dhawan,AY Dandekar,C Shamshuddin
Jaipur,Sawai Mansingh Stadium,2018-05-11,Rajasthan Royals,Chennai Super Kings,,,Chennai Super Kings,bat,Chennai Super Kings,Rajasthan Royals,0,1,,4,JC Buttler,M Erasmus,YC Barde
Indore,Holkar Cricket Stadium,2018-05-12,Kings XI Punjab,Kolkata Knight Riders,,,Kings XI Punjab,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,31,,SP Narine,VK Sharma,CK Nandan
Delhi,Feroz Shah Kotla,2018-05-12,Delhi Daredevils,Royal Challengers Bangalore,,,Royal Challengers Bangalore,field,Delhi Daredevils,Royal Challengers Bangalore,0,1,,5,AB de Villiers,KN Ananthapadmanabhan,HDPK Dharmasena
Pune,Maharashtra Cricket Association Stadium,2018-05-13,Chennai Super Kings,Sunrisers Hyderabad,,,Chennai Super Kings,field,Sunrisers Hyderabad,Chennai Super Kings,0,1,,8,AT Rayudu,M Erasmus,YC Barde
Mumbai,Wankhede Stadium,2018-05-13,Mumbai Indians,Rajasthan Royals,,,Rajasthan Royals,field,Mumbai Indians,Rajasthan Royals,0,1,,7,JC Buttler,Nitin Menon,S Ravi
Indore,Holkar Cricket Stadium,2018-05-14,Kings XI Punjab,Royal Challengers Bangalore,,,Royal Challengers Bangalore,field,Kings XI Punjab,Royal Challengers Bangalore,0,1,,10,UT Yadav,BNJ Oxenford,VK Sharma
Kolkata,Eden Gardens,2018-05-15,Kolkata Knight Riders,Rajasthan Royals,,,Kolkata Knight Riders,field,Rajasthan Royals,Kolkata Knight Riders,0,1,,6,Kuldeep Yadav,HDPK Dharmasena,AK Chaudhary
Mumbai,Wankhede Stadium,2018-05-16,Mumbai Indians,Kings XI Punjab,,,Kings XI Punjab,field,Mumbai Indians,Mumbai Indians,1,0,3,,JJ Bumrah,M Erasmus,Nitin Menon
Bengaluru,M.Chinnaswamy Stadium,2018-05-17,Royal Challengers Bangalore,Sunrisers Hyderabad,,,Sunrisers Hyderabad,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,14,,AB de Villiers,AY Dandekar,S Ravi
Delhi,Feroz Shah Kotla,2018-05-18,Delhi Daredevils,Chennai Super Kings,,,Chennai Super Kings,field,Delhi Daredevils,Delhi Daredevils,1,0,34,,HV Patel,VA Kulkarni,HDPK Dharmasena
Jaipur,Sawai Mansingh Stadium,2018-05-19,Rajasthan Royals,Royal Challengers Bangalore,,,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,1,0,30,,S Gopal,BNJ Oxenford,VK Sharma
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2018-05-19,Sunrisers Hyderabad,Kolkata Knight Riders,,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Kolkata Knight Riders,0,1,,5,CA Lynn,AK Chaudhary,S Ravi
Delhi,Feroz Shah Kotla,2018-05-20,Delhi Daredevils,Mumbai Indians,,,Delhi Daredevils,bat,Delhi Daredevils,Delhi Daredevils,1,0,11,,A Mishra,HDPK Dharmasena,CK Nandan
Pune,Maharashtra Cricket Association Stadium,2018-05-20,Chennai Super Kings,Kings XI Punjab,,,Chennai Super Kings,field,Kings XI Punjab,Chennai Super Kings,0,1,,5,L Ngidi,Nitin Menon,YC Barde
Mumbai,Wankhede Stadium,2018-05-22,Sunrisers Hyderabad,Chennai Super Kings,,,Chennai Super Kings,field,Sunrisers Hyderabad,Chennai Super Kings,0,1,,2,F du Plessis,C Shamshuddin,M Erasmus
Kolkata,Eden Gardens,2018-05-23,Kolkata Knight Riders,Rajasthan Royals,,,Rajasthan Royals,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,25,,AD Russell,AK Chaudhary,Nitin Menon
Kolkata,Eden Gardens,2018-05-25,Kolkata Knight Riders,Sunrisers Hyderabad,,,Kolkata Knight Riders,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,14,,Rashid Khan,HDPK Dharmasena,Nitin Menon
