City,Venue,Date,Team 1,Team 2,Team 1 Captain,Team 2 Captain,Toss Winner,Decision,Opening Team,Winner,By Runs,By Wickets,Run Won By,Wickets Won By,Player of the Match,Umpire 1,Umpire 2
Chandigarh,"Punjab Cricket Association Stadium, Mohali",2015-04-27,Kings XI Punjab,Sunrisers Hyderabad,,,Kings XI Punjab,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,20,,TA Boult,HDPK Dharmasena,CB Gaffaney
Kolkata,Eden Gardens,2015-05-07,Kolkata Knight Riders,Delhi Daredevils,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,1,0,13,,PP Chawla,AK Chaudhary,M Erasmus
Bangalore,M Chinnaswamy Stadium,2015-04-29,Royal Challengers Bangalore,Rajasthan Royals,,,Rajasthan Royals,field,Royal Challengers Bangalore,Tied,,,,,,JD Cloete,PG Pathak
Chennai,"MA Chidambaram Stadium, Chepauk",2015-04-28,Chennai Super Kings,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Chennai Super Kings,Chennai Super Kings,1,0,2,,DJ Bravo,RM Deshpande,VA Kulkarni
Delhi,Feroz Shah Kotla,2015-05-01,Delhi Daredevils,Kings XI Punjab,,,Delhi Daredevils,field,Kings XI Punjab,Delhi Daredevils,0,1,,9,NM Coulter-Nile,RK Illingworth,S Ravi
Mumbai,Wankhede Stadium,2015-05-01,Mumbai Indians,Rajasthan Royals,,,Rajasthan Royals,field,Mumbai Indians,Mumbai Indians,1,0,8,,AT Rayudu,HDPK Dharmasena,CK Nandan
Bangalore,M Chinnaswamy Stadium,2015-05-02,Royal Challengers Bangalore,Kolkata Knight Riders,,,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,0,1,,7,Mandeep Singh,JD Cloete,PG Pathak
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2015-05-02,Sunrisers Hyderabad,Chennai Super Kings,,,Chennai Super Kings,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,22,,DA Warner,AK Chaudhary,K Srinivasan
Chandigarh,"Punjab Cricket Association Stadium, Mohali",2015-05-03,Kings XI Punjab,Mumbai Indians,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,23,,LMP Simmons,RK Illingworth,VA Kulkarni
Mumbai,Brabourne Stadium,2015-05-03,Rajasthan Royals,Delhi Daredevils,,,Delhi Daredevils,field,Rajasthan Royals,Rajasthan Royals,1,0,14,,AM Rahane,HDPK Dharmasena,CB Gaffaney
Chennai,"MA Chidambaram Stadium, Chepauk",2015-05-04,Chennai Super Kings,Royal Challengers Bangalore,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,24,,SK Raina,C Shamshuddin,K Srinath
Kolkata,Eden Gardens,2015-05-04,Kolkata Knight Riders,Sunrisers Hyderabad,,,Sunrisers Hyderabad,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,35,,UT Yadav,AK Chaudhary,M Erasmus
Mumbai,Wankhede Stadium,2015-05-05,Mumbai Indians,Delhi Daredevils,,,Delhi Daredevils,bat,Delhi Daredevils,Mumbai Indians,0,1,,5,Harbhajan Singh,HDPK Dharmasena,CB Gaffaney
Bangalore,M Chinnaswamy Stadium,2015-05-06,Royal Challengers Bangalore,Kings XI Punjab,,,Kings XI Punjab,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,138,,CH Gayle,RK Illingworth,VA Kulkarni
Mumbai,Brabourne Stadium,2015-05-07,Rajasthan Royals,Sunrisers Hyderabad,,,Rajasthan Royals,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,7,,EJG Morgan,JD Cloete,C Shamshuddin
Chennai,"MA Chidambaram Stadium, Chepauk",2015-05-08,Chennai Super Kings,Mumbai Indians,,,Chennai Super Kings,bat,Chennai Super Kings,Mumbai Indians,0,1,,6,HH Pandya,CB Gaffaney,CK Nandan
Kolkata,Eden Gardens,2015-05-09,Kolkata Knight Riders,Kings XI Punjab,,,Kings XI Punjab,bat,Kings XI Punjab,Kolkata Knight Riders,0,1,,1,AD Russell,AK Chaudhary,HDPK Dharmasena
Raipur,Shaheed Veer Narayan Singh International Stadium,2015-05-09,Delhi Daredevils,Sunrisers Hyderabad,,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,6,,MC Henriques,VA Kulkarni,S Ravi
Mumbai,Wankhede Stadium,2015-05-10,Mumbai Indians,Royal Challengers Bangalore,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,39,,AB de Villiers,JD Cloete,C Shamshuddin
Chennai,"MA Chidambaram Stadium, Chepauk",2015-05-10,Chennai Super Kings,Rajasthan Royals,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,12,,RA Jadeja,M Erasmus,CK Nandan
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2015-05-11,Sunrisers Hyderabad,Kings XI Punjab,,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,5,,DA Warner,AK Chaudhary,HDPK Dharmasena
Raipur,Shaheed Veer Narayan Singh International Stadium,2015-05-12,Delhi Daredevils,Chennai Super Kings,,,Chennai Super Kings,bat,Chennai Super Kings,Delhi Daredevils,0,1,,6,Z Khan,RK Illingworth,VA Kulkarni
Chandigarh,"Punjab Cricket Association Stadium, Mohali",2015-05-13,Kings XI Punjab,Royal Challengers Bangalore,,,Royal Challengers Bangalore,field,Kings XI Punjab,Kings XI Punjab,1,0,22,,AR Patel,JD Cloete,C Shamshuddin
Mumbai,Wankhede Stadium,2015-05-14,Mumbai Indians,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Mumbai Indians,Mumbai Indians,1,0,5,,HH Pandya,RK Illingworth,VA Kulkarni
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2015-05-15,Sunrisers Hyderabad,Royal Challengers Bangalore,,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Royal Challengers Bangalore,0,1,,6,V Kohli,AK Chaudhary,HDPK Dharmasena
Chandigarh,"Punjab Cricket Association Stadium, Mohali",2015-05-16,Kings XI Punjab,Chennai Super Kings,,,Kings XI Punjab,bat,Kings XI Punjab,Chennai Super Kings,0,1,,7,P Negi,CK Nandan,C Shamshuddin
Mumbai,Brabourne Stadium,2015-05-16,Rajasthan Royals,Kolkata Knight Riders,,,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,1,0,9,,SR Watson,RM Deshpande,RK Illingworth
Bangalore,M Chinnaswamy Stadium,2015-05-17,Royal Challengers Bangalore,Delhi Daredevils,,,Royal Challengers Bangalore,field,Delhi Daredevils,Tied,,,,,,HDPK Dharmasena,K Srinivasan
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2015-05-17,Sunrisers Hyderabad,Mumbai Indians,,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Mumbai Indians,0,1,,9,MJ McClenaghan,CB Gaffaney,K Srinath
Mumbai,Wankhede Stadium,2015-05-19,Chennai Super Kings,Mumbai Indians,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,25,,KA Pollard,HDPK Dharmasena,RK Illingworth
Pune,Maharashtra Cricket Association Stadium,2015-05-20,Royal Challengers Bangalore,Rajasthan Royals,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,71,,AB de Villiers,AK Chaudhary,C Shamshuddin
Ranchi,JSCA International Stadium Complex,2015-05-22,Chennai Super Kings,Royal Challengers Bangalore,,,Chennai Super Kings,field,Royal Challengers Bangalore,Chennai Super Kings,0,1,,3,A Nehra,AK Chaudhary,CB Gaffaney
Kolkata,Eden Gardens,2015-05-24,Mumbai Indians,Chennai Super Kings,,,Chennai Super Kings,field,Mumbai Indians,Mumbai Indians,1,0,41,,RG Sharma,HDPK Dharmasena,RK Illingworth
Mumbai,Wankhede Stadium,2016-04-09,Mumbai Indians,Rising Pune Supergiants,,,Mumbai Indians,bat,Mumbai Indians,Rising Pune Supergiants,0,1,,9,AM Rahane,HDPK Dharmasena,CK Nandan
Kolkata,Eden Gardens,2016-04-10,Kolkata Knight Riders,Delhi Daredevils,,,Kolkata Knight Riders,field,Delhi Daredevils,Kolkata Knight Riders,0,1,,9,AD Russell,S Ravi,C Shamshuddin
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2016-04-11,Kings XI Punjab,Gujarat Lions,,,Gujarat Lions,field,Kings XI Punjab,Gujarat Lions,0,1,,5,AJ Finch,AK Chaudhary,VA Kulkarni
Bangalore,M Chinnaswamy Stadium,2016-04-12,Royal Challengers Bangalore,Sunrisers Hyderabad,,,Sunrisers Hyderabad,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,45,,AB de Villiers,HDPK Dharmasena,VK Sharma
Kolkata,Eden Gardens,2016-04-13,Kolkata Knight Riders,Mumbai Indians,,,Mumbai Indians,field,Kolkata Knight Riders,Mumbai Indians,0,1,,6,RG Sharma,Nitin Menon,S Ravi
Rajkot,Saurashtra Cricket Association Stadium,2016-04-14,Gujarat Lions,Rising Pune Supergiants,,,Rising Pune Supergiants,bat,Rising Pune Supergiants,Gujarat Lions,0,1,,7,AJ Finch,VA Kulkarni,CK Nandan
Delhi,Feroz Shah Kotla,2016-04-15,Delhi Daredevils,Kings XI Punjab,,,Delhi Daredevils,field,Kings XI Punjab,Delhi Daredevils,0,1,,8,A Mishra,S Ravi,C Shamshuddin
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2016-04-16,Sunrisers Hyderabad,Kolkata Knight Riders,,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Kolkata Knight Riders,0,1,,8,G Gambhir,AK Chaudhary,CK Nandan
Mumbai,Wankhede Stadium,2016-04-16,Mumbai Indians,Gujarat Lions,,,Gujarat Lions,field,Mumbai Indians,Gujarat Lions,0,1,,3,AJ Finch,HDPK Dharmasena,VK Sharma
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2016-04-17,Kings XI Punjab,Rising Pune Supergiants,,,Rising Pune Supergiants,bat,Rising Pune Supergiants,Kings XI Punjab,0,1,,6,M Vohra,S Ravi,C Shamshuddin
Bangalore,M Chinnaswamy Stadium,2016-04-17,Royal Challengers Bangalore,Delhi Daredevils,,,Delhi Daredevils,field,Royal Challengers Bangalore,Delhi Daredevils,0,1,,7,Q de Kock,VA Kulkarni,A Nand Kishore
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2016-04-18,Sunrisers Hyderabad,Mumbai Indians,,,Sunrisers Hyderabad,field,Mumbai Indians,Sunrisers Hyderabad,0,1,,7,DA Warner,HDPK Dharmasena,VK Sharma
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2016-04-19,Kings XI Punjab,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Kings XI Punjab,Kolkata Knight Riders,0,1,,6,RV Uthappa,S Ravi,C Shamshuddin
Mumbai,Wankhede Stadium,2016-04-20,Mumbai Indians,Royal Challengers Bangalore,,,Mumbai Indians,field,Royal Challengers Bangalore,Mumbai Indians,0,1,,6,RG Sharma,AK Chaudhary,CK Nandan
Rajkot,Saurashtra Cricket Association Stadium,2016-04-21,Gujarat Lions,Sunrisers Hyderabad,,,Sunrisers Hyderabad,field,Gujarat Lions,Sunrisers Hyderabad,0,1,,10,B Kumar,K Bharatan,HDPK Dharmasena
Pune,Maharashtra Cricket Association Stadium,2016-04-22,Rising Pune Supergiants,Royal Challengers Bangalore,,,Rising Pune Supergiants,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,13,,AB de Villiers,CB Gaffaney,VK Sharma
Delhi,Feroz Shah Kotla,2016-04-23,Delhi Daredevils,Mumbai Indians,,,Mumbai Indians,field,Delhi Daredevils,Delhi Daredevils,1,0,10,,SV Samson,S Ravi,C Shamshuddin
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2016-04-23,Sunrisers Hyderabad,Kings XI Punjab,,,Sunrisers Hyderabad,field,Kings XI Punjab,Sunrisers Hyderabad,0,1,,5,Mustafizur Rahman,AK Chaudhary,CK Nandan
Rajkot,Saurashtra Cricket Association Stadium,2016-04-24,Gujarat Lions,Royal Challengers Bangalore,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Gujarat Lions,0,1,,6,V Kohli,K Bharatan,BNJ Oxenford
Pune,Maharashtra Cricket Association Stadium,2016-04-24,Rising Pune Supergiants,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Rising Pune Supergiants,Kolkata Knight Riders,0,1,,2,SA Yadav,CB Gaffaney,A Nand Kishore
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2016-04-25,Kings XI Punjab,Mumbai Indians,,,Kings XI Punjab,field,Mumbai Indians,Mumbai Indians,1,0,25,,PA Patel,Nitin Menon,RJ Tucker
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2016-04-26,Sunrisers Hyderabad,Rising Pune Supergiants,,,Rising Pune Supergiants,field,Sunrisers Hyderabad,Rising Pune Supergiants,1,0,34,,AB Dinda,AY Dandekar,CK Nandan
Delhi,Feroz Shah Kotla,2016-04-27,Delhi Daredevils,Gujarat Lions,,,Delhi Daredevils,field,Gujarat Lions,Gujarat Lions,1,0,1,,CH Morris,M Erasmus,S Ravi
Mumbai,Wankhede Stadium,2016-04-28,Mumbai Indians,Kolkata Knight Riders,,,Mumbai Indians,field,Kolkata Knight Riders,Mumbai Indians,0,1,,6,RG Sharma,Nitin Menon,RJ Tucker
Pune,Maharashtra Cricket Association Stadium,2016-04-29,Rising Pune Supergiants,Gujarat Lions,,,Gujarat Lions,field,Rising Pune Supergiants,Gujarat Lions,0,1,,3,DR Smith,CB Gaffaney,BNJ Oxenford
Delhi,Feroz Shah Kotla,2016-04-30,Delhi Daredevils,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Delhi Daredevils,Delhi Daredevils,1,0,27,,CR Brathwaite,KN Ananthapadmanabhan,M Erasmus
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2016-04-30,Sunrisers Hyderabad,Royal Challengers Bangalore,,,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,15,,DA Warner,AK Chaudhary,HDPK Dharmasena
Rajkot,Saurashtra Cricket Association Stadium,2016-05-01,Gujarat Lions,Kings XI Punjab,,,Gujarat Lions,field,Kings XI Punjab,Kings XI Punjab,1,0,23,,AR Patel,BNJ Oxenford,VK Sharma
Pune,Maharashtra Cricket Association Stadium,2016-05-01,Rising Pune Supergiants,Mumbai Indians,,,Mumbai Indians,field,Rising Pune Supergiants,Mumbai Indians,0,1,,8,RG Sharma,AY Dandekar,RJ Tucker
Bangalore,M Chinnaswamy Stadium,2016-05-02,Royal Challengers Bangalore,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Royal Challengers Bangalore,Kolkata Knight Riders,0,1,,5,AD Russell,M Erasmus,S Ravi
Rajkot,Saurashtra Cricket Association Stadium,2016-05-03,Gujarat Lions,Delhi Daredevils,,,Delhi Daredevils,field,Gujarat Lions,Delhi Daredevils,0,1,,8,RR Pant,CB Gaffaney,BNJ Oxenford
Kolkata,Eden Gardens,2016-05-04,Kolkata Knight Riders,Kings XI Punjab,,,Kings XI Punjab,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,7,,AD Russell,AK Chaudhary,HDPK Dharmasena
Delhi,Feroz Shah Kotla,2016-05-05,Delhi Daredevils,Rising Pune Supergiants,,,Rising Pune Supergiants,field,Delhi Daredevils,Rising Pune Supergiants,0,1,,7,AM Rahane,C Shamshuddin,RJ Tucker
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2016-05-06,Sunrisers Hyderabad,Gujarat Lions,,,Sunrisers Hyderabad,field,Gujarat Lions,Sunrisers Hyderabad,0,1,,5,B Kumar,M Erasmus,S Ravi
Bangalore,M Chinnaswamy Stadium,2016-05-07,Royal Challengers Bangalore,Rising Pune Supergiants,,,Royal Challengers Bangalore,field,Rising Pune Supergiants,Royal Challengers Bangalore,0,1,,7,V Kohli,CB Gaffaney,BNJ Oxenford
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2016-05-07,Kings XI Punjab,Delhi Daredevils,,,Delhi Daredevils,field,Kings XI Punjab,Kings XI Punjab,1,0,9,,MP Stoinis,HDPK Dharmasena,CK Nandan
Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016-05-08,Mumbai Indians,Sunrisers Hyderabad,,,Mumbai Indians,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,85,,A Nehra,S Ravi,C Shamshuddin
Kolkata,Eden Gardens,2016-05-08,Kolkata Knight Riders,Gujarat Lions,,,Gujarat Lions,field,Kolkata Knight Riders,Gujarat Lions,0,1,,5,P Kumar,M Erasmus,RJ Tucker
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2016-05-09,Kings XI Punjab,Royal Challengers Bangalore,,,Kings XI Punjab,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,1,,SR Watson,AK Chaudhary,HDPK Dharmasena
Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016-05-10,Rising Pune Supergiants,Sunrisers Hyderabad,,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,4,,A Zampa,CB Gaffaney,VK Sharma
Bangalore,M Chinnaswamy Stadium,2016-05-11,Royal Challengers Bangalore,Mumbai Indians,,,Mumbai Indians,field,Royal Challengers Bangalore,Mumbai Indians,0,1,,6,KH Pandya,AY Dandekar,C Shamshuddin
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2016-05-12,Sunrisers Hyderabad,Delhi Daredevils,,,Delhi Daredevils,field,Sunrisers Hyderabad,Delhi Daredevils,0,1,,7,CH Morris,K Bharatan,M Erasmus
Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016-05-13,Mumbai Indians,Kings XI Punjab,,,Mumbai Indians,bat,Mumbai Indians,Kings XI Punjab,0,1,,7,MP Stoinis,HDPK Dharmasena,CK Nandan
Bangalore,M Chinnaswamy Stadium,2016-05-14,Royal Challengers Bangalore,Gujarat Lions,,,Gujarat Lions,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,144,,AB de Villiers,AY Dandekar,VK Sharma
Kolkata,Eden Gardens,2016-05-14,Kolkata Knight Riders,Rising Pune Supergiants,,,Rising Pune Supergiants,bat,Rising Pune Supergiants,Kolkata Knight Riders,0,1,,8,YK Pathan,A Nand Kishore,BNJ Oxenford
